         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion        mstn        mstp
   42   7.637866E+03   7.426638E-01   6.471E+14   3.931E+34   3.701E-01      8.411E-01   6.472E-01   9.533E-01   2.161E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.910E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.491102E-01   4.391409E-01
   43   7.698009E+03   7.565625E-01   6.414E+14   3.813E+34   3.670E-01      8.374E-01   6.424E-01   9.481E-01   2.156E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.849E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.509731E-01   4.407420E-01
   44   7.757228E+03   7.710470E-01   6.348E+14   3.704E+34   3.635E-01      8.331E-01   6.368E-01   9.422E-01   2.149E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.779E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.531097E-01   4.425794E-01
   45   7.815554E+03   7.853932E-01   6.283E+14   3.596E+34   3.600E-01      8.288E-01   6.311E-01   9.362E-01   2.143E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.707E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.552646E-01   4.444327E-01
   46   7.873024E+03   7.995285E-01   6.218E+14   3.491E+34   3.565E-01      8.245E-01   6.255E-01   9.304E-01   2.136E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.635E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.574037E-01   4.463027E-01
   47   7.929666E+03   8.134605E-01   6.155E+14   3.387E+34   3.531E-01      8.203E-01   6.199E-01   9.245E-01   2.130E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.563E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.595337E-01   4.481648E-01
   48   7.985511E+03   8.271961E-01   6.092E+14   3.284E+34   3.497E-01      8.161E-01   6.143E-01   9.187E-01   2.124E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.490E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.616546E-01   4.500223E-01
   49   8.040585E+03   8.407423E-01   6.031E+14   3.183E+34   3.464E-01      8.120E-01   6.088E-01   9.130E-01   2.117E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.418E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.637599E-01   4.518981E-01
   50   8.094915E+03   8.541054E-01   5.970E+14   3.083E+34   3.430E-01      8.078E-01   6.033E-01   9.073E-01   2.111E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.346E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.658580E-01   4.537675E-01
   51   8.148525E+03   8.672916E-01   5.910E+14   2.985E+34   3.397E-01      8.037E-01   5.978E-01   9.016E-01   2.105E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.272E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.679484E-01   4.556330E-01
   52   8.201439E+03   8.803064E-01   5.851E+14   2.888E+34   3.365E-01      7.997E-01   5.924E-01   8.960E-01   2.099E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.200E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.700215E-01   4.575168E-01
   53   8.253679E+03   8.931554E-01   5.792E+14   2.792E+34   3.333E-01      7.957E-01   5.870E-01   8.904E-01   2.093E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.127E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.720890E-01   4.593954E-01
   54   8.305266E+03   9.058439E-01   5.734E+14   2.697E+34   3.301E-01      7.917E-01   5.815E-01   8.848E-01   2.086E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      7.053E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.741512E-01   4.612693E-01
   55   8.356220E+03   9.183089E-01   5.659E+14   2.613E+34   3.260E-01      7.865E-01   5.744E-01   8.776E-01   2.078E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.957E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.768591E-01   4.637707E-01
   56   8.406560E+03   9.306108E-01   5.581E+14   2.532E+34   3.217E-01      7.810E-01   5.669E-01   8.700E-01   2.070E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.855E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.796990E-01   4.663954E-01
   57   8.456304E+03   9.427670E-01   5.504E+14   2.452E+34   3.175E-01      7.771E-01   5.616E-01   8.647E-01   2.061E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.748E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.823146E-01   4.691396E-01
   58   8.505469E+03   9.547818E-01   5.427E+14   2.372E+34   3.133E-01      7.743E-01   5.577E-01   8.608E-01   2.052E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.638E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.847818E-01   4.719663E-01
   59   8.554073E+03   9.666593E-01   5.352E+14   2.294E+34   3.092E-01      7.715E-01   5.538E-01   8.568E-01   2.043E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.527E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.872545E-01   4.748059E-01
   60   8.602131E+03   9.784034E-01   5.277E+14   2.216E+34   3.051E-01      7.687E-01   5.498E-01   8.529E-01   2.034E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.417E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.897319E-01   4.776751E-01
   61   8.649657E+03   9.900177E-01   5.204E+14   2.140E+34   3.010E-01      7.659E-01   5.458E-01   8.489E-01   2.025E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      6.306E+09   1.000E+00   1.000E+00   00000  3p2   N/A    N/A    N/A    6.922166E-01   4.805527E-01
